full_name,e,q,i,om,w,ad,tp_cal,per_y,class,data_arc,condition_code,n_obs_used,two_body,A1,A2,A3,DT
"   48P/Johnson",.367807917750657,2.302504592506113,13.66072398811014,117.2894093488922,207.8209315334678,4.981688478415587,20110928.9572311,6.95080942686081,JFc,25665,0,2123,,5.750573803808527E-9,-1.751196058818756E-10,,
"   49P/Arend-Rigaux",.6004277045509042,1.423830622944393,19.0498060708449,118.8788703052938,332.7864094506368,5.702942875423862,20111019.0754531,6.72670904588953,JFc,5863,0,3306,,-1.67153549890005E-10,6.270458478657944E-11,3.435581500738994E-10,155.3595897597129
"   50P/Arend",.5298191651919552,1.922161808831259,19.16230981680282,355.3247745531997,49.01451533157994,6.254104285111073,20071101.4633114,8.26600634401576,JFc,6447,0,1693,,2.365273031799187E-9,-1.107871065975338E-10,,
"   51P/Harrington",.542437041421476,1.699602249252703,5.424389279818731,83.70082476433753,269.2756022819647,5.729330610752958,20150812.6857017,7.15900818286303,JFc,5085,2,653,,3.867415007133801E-8,3.996867447334527E-9,-7.129200060302572E-9,
"   51P/Harrington-A",.5620663599153678,1.568096864999769,8.654956945930117,119.1877795469232,233.587839407905,5.593247783914295,20010605.6933477,6.77571408202069,JFc,7593,2,246,,2.625456552342429E-8,3.101463228773831E-9,,
"   51P/Harrington-D",.5524980225643705,1.646282145601325,5.408234874963838,84.56410029483207,269.1090870083974,5.711370908962587,20080614.0675435,7.05622087046608,JFc,5132,0,235,,,,,
"   52P/Harrington-Abell",.539617075598499,1.775700835903087,10.22565162735523,336.8686694013297,139.6709936590744,5.938316091251641,20140309.1100270,7.57502534116723,JFc,11222,0,1295,,3.812871864310003E-10,5.922660648615227E-11,5.907207852064567E-10,
"   53P/Van Biesbroeck",.5510744634278288,2.426218348989635,6.611254102620895,148.8977993028672,134.2654652081746,8.382782927771487,20160430.7999891,12.5643944118219,JFc,6192,0,2911,,-1.216840672420297E-8,4.627173099646659E-9,2.212587938595131E-9,-179.1889805451431
"   54P/de Vico-Swift-NEAT",0.4270474945217546114406,2.1717640349767100005351,6.0671607093682196065742,358.8600316230779,1.933331420129209,5.409192551168005,20091128.5701211,7.37987869257988,JFc,16209,1,141,,6.664761869785403E-9,6.905615013053886E-10,,
"   55P/Tempel-Tuttle",0.905552720972412,0.976427915467506,162.486575379434,235.270989149082,172.5002736828059,19.70024854404794,19980228.0977341,33.2417827583798,HTC,48407,,392,,1.580981480640338E-9,9.186415654543854E-11,,
"   56P/Slaughter-Burnham",.5073072932202485,2.505832507178138,8.147233422215407,346.0397842419798,44.21475392696136,7.666156940590654,20160718.0633024,11.4702282517997,JFc,4940,0,1964,,-3.784928456548057E-8,1.976550653448429E-8,,
"   57P/duToit-Neujmin-Delporte",.4992889286810742,1.72872449611193,2.848332280065132,188.7994329470437,115.214272881255,5.17635348252468,20150522.2626326,6.41528699620548,JFc,16549,0,719,,7.600102113351381E-9,3.307496160787671E-11,-1.209113945893137E-9,
"   57P/duToit-Neujmin-Delporte-A",0.499040120360139,1.72939044107225,2.84481020036925,188.9256753142995,115.2325343233014,5.174916715482914,20020731.1512416,6.41421280698932,JFc,4946,1,533,,1.850173392646791E-8,-1.607216552946147E-10,-7.457258926508415E-10,
"   58P/Jackson-Neujmin",.6604885138591077,1.38861538361083,13.45598451369799,160.6156485204055,200.4451346767324,6.791463584525021,20040110.4170165,8.27178910279926,JFc,11968,1,369,,2.289961916149745E-9,2.191251617160212E-9,,
"   59P/Kearns-Kwee",.4763732522282405,2.35163154126014,9.342506163347114,312.864104234953,127.7380243417494,6.630459428184295,20090309.5334589,9.51764238452834,JFc,3925,0,1249,,2.787145888506149E-8,-2.432281883246637E-9,-2.00786407822556E-9,
"   60P/Tsuchinshan 2",.5385486170391682,1.619511457218346,3.609030486894438,267.6621316408426,216.4921496275937,5.399695839667406,20120513.8922046,6.57499325399629,JFc,5009,0,1390,,6.474969590846007E-10,1.327306663505201E-11,,
"   61P/Shajn-Schaldach",.4266921436652285,2.110519378969819,6.007764953028679,163.0891024911736,221.8295259706238,5.252084693692405,20150930.9693951,7.06334434178254,JFc,6124,0,1502,,7.968180502614994E-9,-3.061770130421073E-10,-6.011276877364649E-9,-168.0933894384228
"   62P/Tsuchinshan 1",.5979411910839181,1.384086500989617,9.709984573381838,90.38262560156416,30.09091896763292,5.50090877978039,20110630.2228746,6.3873200676556,JFc,7520,0,1518,,6.356989321173015E-9,-2.782137456793636E-10,-1.53652128429908E-9,17.41772727857961
"   63P/Wild 1",.6509190323024351,1.950577151905188,19.77997964011996,358.0018642381609,169.0295202220291,9.224922702874174,20130410.8313401,13.208808523438,JFc,19491,0,1948,,3.025094249986194E-9,-1.100220252464464E-9,,
"   64P/Swift-Gehrels",.6873194552330496,1.393353090694932,8.948390092799494,300.0009854543124,97.14410525137997,7.518957662335368,20181103.9121350,9.40694685088381,JFc,6707,0,3425,,-4.288967091959609E-10,4.992406544248472E-10,,
"   65P/Gunn",.2505391269708491,2.910381239100402,9.183298186122631,62.01900995387292,213.4531660816297,4.856218309551954,20171016.3847137,7.65260995822444,JFc,2316,2,1823,,-2.607915759681589E-7,2.47930047289609E-8,1.928145854500599E-8,-332.1973067568233
"   66P/du Toit",.7865681713017859,1.285451447234088,18.6689713312349,21.99985095509755,257.342734110419,10.76009447789291,20180520.4689477,14.7809701659725,JFc,16304,0,547,,7.681995007508509E-10,-8.894690955671997E-11,,
